"itempicture",Name,Unit Price,"TotalQuantity",Quantity Florida,"QuantityNew Jersey","***PAINTED ITEMSFlyDeltaKaleido LowKaleido HighCobraLuckyBobinoThalis","NYC COBRA HAS MIDDLE(STRAIGHT PIECE)FLORIDA HAS CORNER AS AMIDDLE PIECE",item,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5,Quantity,Unnamed: 6,***PAINTED ITEMS
,prisma gold,$           550.00,1.0,0.0,1.0,,,,,,,,,,,,,
,amazonia,$          200.00,11.0,8.0,3.0,,,,,,,,,,,,,
,bamboo,$          313.00,6.0,4.0,2.0,,,,,,,,,,,,,
,mikado,$          250.00,14.0,6.0,8.0,,,,,,,,,,,,,
,ondas,$          550.00,13.0,6.0,7.0,,,,,,,,,,,,,
,topiary,$          350.00,85.0,60.0,25.0,,,,,,,,,,,,,
,mini topiary,$          185.00,49.0,24.0,25.0,,,,,,,,,,,,,
,giant clock silver or gold,$          188.00,4.0,2.0,2.0,,,,,,,,,,,,,
,chiara fest,$          200.00,6.0,3.0,3.0,,,,,,,,,,,,,
,stanchion silver,$             25.00,189.0,156.0,32.0,,,,,,,,,,,,,
,stanchion gold,$             25.00,204.0,188.0,16.0,,,,,,,,,,,,,
,stanshion black retractable,$             30.00,18.0,0.0,18.0,,,,,,,,,,,,,
,inflatable led cone,$          150.00,10.0,6.0,4.0,,,,,,,,,,,,,
,market umbrella black,$           188.00,3.0,3.0,0.0,,,,,,,,,,,,,
,market umbrella square,$           188.00,20.0,10.0,10.0,,,,,,,,,,,,,
,Bars/back bars,,,,,,,,,,,,,,,,,
,bollywood orange,$           750.00,8.0,4.0,4.0,,,,,,,,,,,,,
,bollywood light pink,$           750.00,3.0,3.0,0.0,,,,,,,,,,,,,
,bollywood rose pink,$          750.00,8.0,4.0,4.0,,,,,,,,,,,,,
,bollywood white,$           750.00,7.0,4.0,3.0,,,,,,,,,,,,,
,bollywood olive,$           750.00,7.0,4.0,3.0,,,,,,,,,,,,,
,bollywood aqua blue,$          750.00,10.0,6.0,4.0,,,,,,,,,,,,,
,bollywood black,$          750.00,5.0,2.0,3.0,,,,,,,,,,,,,
,bollywood silver,$          750.00,14.0,7.0,7.0,,,,,,,,,,,,,
,bollywood gold,$          750.00,10.0,3.0,7.0,,,,,,,,,,,,,
,spartacus frozen gold magenta,$           688.00,7.0,3.0,4.0,,,,,,,,,,,,,
,spartacus frozen rainbow,$          688.00,7.0,3.0,4.0,,,,,,,,,,,,,
,spartacus frozen silver black,$           688.00,9.0,5.0,4.0,,,,,,,,,,,,,
,spartacus frozen gold black,$           688.00,12.0,8.0,4.0,,,,,,,,,,,,,
,spartacus frozen silver blue,$          688.00,9.0,5.0,4.0,,,,,,,,,,,,,
,spartacus frozen gold blue,$          688.00,18.0,14.0,4.0,,,,,,,,,,,,,
,spartacus frozen red,$          688.00,9.0,5.0,4.0,,,,,,,,,,,,,
,sparatcus frozen gold red,$          688.00,10.0,6.0,4.0,,,,,,,,,,,,,
,spartacus frozen gold purple,$          688.00,12.0,8.0,4.0,,,,,,,,,,,,,
,spartacus frozen silver purple,$           688.00,9.0,5.0,4.0,,,,,,,,,,,,,
,spartacus frozen gold,$           688.00,18.0,14.0,4.0,,,,,,,,,,,,,
,spartacus frozen silver,$          688.00,9.0,5.0,4.0,,,,,,,,,,,,,
,spartacus gold plain black,$           688.00,18.0,14.0,4.0,,,,,,,,,,,,,
,spartacus gold mirror silver,$          688.00,18.0,14.0,4.0,,,,,,,,,,,,,
,spartacus gold mirror silver,$           688.00,18.0,14.0,4.0,,,,,,,,,,,,,
,spartacus gold plain white,$          688.00,18.0,14.0,4.0,,,,,,,,,,,,,
,spartacus silver plain white,$           688.00,0.0,0.0,0.0,,,,,,,,,,,,,
,spartacus silver plain black,$          688.00,9.0,5.0,4.0,,,,,,,,,,,,,
,spartacus silver mirror,$           688.00,9.0,5.0,4.0,,,,,,,,,,,,,
,spartacus gold mirror,$          688.00,9.0,5.0,4.0,,,,,,,,,,,,,
,crown silver,$           938.00,8.0,5.0,3.0,,,,,,,,,,,,,
,crown gold,$          938.00,24.0,14.0,10.0,,,,,,,,,,,,,
,impact silver,$           938.00,10.0,4.0,6.0,,,,,,,,,,,,,
,impact gold,$          938.00,8.0,4.0,,,,,,,,,,,,,,
,eclipse,$          750.00,14.0,12.0,4.0,,,,,,,,,,,,,
,big bang silver matte (2 pieces),"$       2,400.00",4.0,2.0,2.0,,,,,,,,,,,,,
,Big bang black  (2 pieces),"$       2,400.00",4.0,2.0,2.0,,,,,,,,,,,,,
,big bang gold matte (2 pieces),"$       2,400.00",4.0,2.0,2.0,,,,,,,,,,,,,
,uno frozen gold,$          688.00,8.0,4.0,4.0,,,,,,,,,,,,,
,uno frozen silver,$          688.00,18.0,14.0,4.0,,,,,,,,,,,,,
,uno silver black frozen,$           688.00,7.0,3.0,4.0,,,,,,,,,,,,,
,uno gold frozen black,$          688.00,7.0,3.0,4.0,,,,,,,,,,,,,
,uno silver purple frozen,$           688.00,12.0,8.0,4.0,,,,,,,,,,,,,
,uno silver purple frozen,$           688.00,12.0,8.0,4.0,,,,,,,,,,,,,
,uno gold frozen blue,$           688.00,14.0,10.0,4.0,,,,,,,,,,,,,
,uno silver frozen blue,$           688.00,14.0,10.0,4.0,,,,,,,,,,,,,
,uno gold frozen red,$           688.00,7.0,3.0,4.0,,,,,,,,,,,,,
,uno frozen rainbow,$          688.00,7.0,3.0,4.0,,,,,,,,,,,,,
,origami gold/silver,$           750.00,6.0,4.0,2.0,,,,,,,,,,,,,
,origami silver,$           750.00,5.0,3.0,2.0,,,,,,,,,,,,,
,origami gold,$          750.00,6.0,4.0,2.0,,,,,,,,,,,,,
,origami red,$          750.00,4.0,2.0,2.0,,,,,,,,,,,,,
,origami purple,$          750.00,4.0,2.0,2.0,,,,,,,,,,,,,
,origami magenta,$          750.00,3.0,1.0,2.0,,,,,,,,,,,,,
,origami orange,$           750.00,2.0,0.0,2.0,,,,,,,,,,,,,
,origami lime green,$           750.00,2.0,0.0,2.0,,,,,,,,,,,,,
,origami orange,$           750.00,2.0,0.0,2.0,,,,,,,,,,,,,
,origami aqua blue,$           750.00,2.0,0.0,2.0,,,,,,,,,,,,,
,origami brown matte,$           750.00,5.0,3.0,2.0,,,,,,,,,,,,,
,meteor gold,$          750.00,18.0,10.0,8.0,,,,,,,,,,,,,
,bullion gold,$          750.00,4.0,2.0,2.0,,,,,,,,,,,,,
,lava silver,$           750.00,6.0,0.0,6.0,,,,,,,,,,,,,
,lava gold,$           750.00,2.0,0.0,2.0,,,,,,,,,,,,,
,amber,$           750.00,2.0,2.0,0.0,,,,,,,,,,,,,
,lotus,$           750.00,6.0,4.0,2.0,,,,,,,,,,,,,
,stud silver,$           750.00,4.0,1.0,3.0,,,,,,,,,,,,,
,art deco (gold rim),$           750.00,6.0,2.0,4.0,,,,,,,,,,,,,
,psycho silver,$           850.00,24.0,15.0,9.0,,,,,,,,,,,,,
,psycho gold,$           850.00,11.0,6.0,5.0,,,,,,,,,,,,,
,boreal green,$          750.00,16.0,,6.0,,,,,,,,,,,,,
,boreal rainbow,$           750.00,12.0,10.0,2.0,,,,,,,,,,,,,
,boreal blue,$           750.00,9.0,5.0,4.0,,,,,,,,,,,,,
#####,boreal silver,$           750.00,32.0,16.0,5.0,,,,,,,,,,,,,
,boreal magenta,$          750.00,5.0,1.0,4.0,,,,,,,,,,,,,
,boreal gold,$          750.00,17.0,15.0,2.0,,,,,,,,,,,,,
,piano white *FOR SALE,$          500.00,9.0,1.0,8.0,,,,,,,,,,,,,
,piano black *FOR SALE,$          500.00,7.0,3.0,4.0,,,,,,,,,,,,,
,uno curve,$          563.00,9.0,4.0,5.0,,,,,,,,,,,,,
,dj booth gold frame 6',$          350.00,4.0,2.0,2.0,,,,,,,,,,,,,
,uno bar silver 8',$          563.00,53.0,35.0,18.0,,,,,,,,,,,,,
,uno bar silver 6',$          475.00,14.0,4.0,10.0,,,,,,,,,,,,,
,uno bar silver 4',$          350.00,19.0,10.0,9.0,,,,,,,,,,,,,
,uno gold frame 8',$           563.00,17.0,9.0,8.0,,,,,,,,,,,,,
,uno gold frame 4',$           350.00,3.0,3.0,0.0,,,,,,,,,,,,,
,plexi silver,$           350.00,35.0,15.0,20.0,,,,,,,,,,,,,
,plexi gold,$           350.00,35.0,15.0,20.0,,,,,,,,,,,,,
,plexi red,$          350.00,35.0,15.0,20.0,,,,,,,,,,,,,
,plexi black,$          350.00,35.0,15.0,20.0,,,,,,,,,,,,,
,groovy,$           750.00,7.0,4.0,3.0,,,,,,,,,,,,,
,panama,$           750.00,9.0,4.0,5.0,,,,,,,,,,,,,
,vendome,$          663.00,4.0,2.0,2.0,,,,,,,,,,,,,
,sol,$           750.00,7.0,3.0,4.0,,,,,,,,,,,,,
,cadiz,$           750.00,6.0,3.0,3.0,,,,,,,,,,,,,
,cairo,$          750.00,6.0,2.0,4.0,,,,,,,,,,,,,
,azteca,$           750.00,7.0,1.0,6.0,,,,,,,,,,,,,
,cellar,$          510.00,10.0,10.0,0.0,,,,,,,,,,,,,
,eywa bar,$           550.00,23.0,11.0,12.0,,,,,,,,,,,,,
,eywa bar corner,$           250.00,8.0,4.0,4.0,,,,,,,,,,,,,
,cabernet,$          438.00,12.0,10.0,2.0,,,,,,,,,,,,,
,moscata,$           438.00,7.0,5.0,2.0,,,,,,,,,,,,,
,poppy,$          438.00,3.0,1.0,2.0,,,,,,,,,,,,,
,flores,$           750.00,10.0,6.0,4.0,,,,,,,,,,,,,
,Coliseum Curved side piece,$           280.00,3.0,2.0,1.0,,,,,,,,,,,,,
,Coliseum Curved,$          563.00,15.0,9.0,6.0,,,,,,,,,,,,,
,Coliseum Straight,$           563.00,8.0,4.0,4.0,,,,,,,,,,,,,
,golf,$          563.00,4.0,0.0,4.0,,,,,,,,,,,,,
,topiary,$           750.00,10.0,6.0,4.0,,,,,,,,,,,,,
,samodiva,$          663.00,6.0,2.0,4.0,,,,,,,,,,,,,
,rainforest,$           750.00,9.0,9.0,0.0,,,,,,,,,,,,,
,camelia,$           663.00,2.0,0.0,2.0,,,,,,,,,,,,,
,secret garden,$           663.00,6.0,2.0,4.0,,,,,,,,,,,,,
,luminar led curve,$           450.00,8.0,4.0,4.0,,,,,,,,,,,,,
,luminar led straight,$           450.00,19.0,9.0,10.0,,,,,,,,,,,,,
,Uno Bar 2.0 Silver FRAME,$           668.00,50.0,28.0,22.0,,,,,,,,,,,,,
,Uno Bar 2.0 Gold FRAME,$           668.00,50.0,30.0,20.0,,,,,,,,,,,,,
,Uno Bar 2.0 Gold Plexi,,200.0,185.0,15.0,,,,,,,,,,,,,
,Uno Bar 2.0 Blue Plexi,,50.0,35.0,15.0,,,,,,,,,,,,,
,Uno Bar 2.0 Blush Pink Plexi,,50.0,35.0,15.0,,,,,,,,,,,,,
,Uno Bar 2.0 Rose Gold,,50.0,35.0,15.0,,,,,,,,,,,,,
,Uno Bar 2.0 Gold Pixel,,60.0,45.0,15.0,,,,,,,,,,,,,
,Uno Bar 2.0 White Plexi,,200.0,185.0,15.0,,,,,,,,,,,,,
,Uno Bar 2.0 Red Plexi,,50.0,35.0,15.0,,,,,,,,,,,,,
,Paco (special paint $300 extra),,,,,,,,,,,,,,,,,
,paco (paint to color),"$       1,150.00",6.0,5.0,1.0,,,,,,,,,,,,,
,bark,$          590.00,6.0,2.0,4.0,,,,,,,,,,,,,
,western,$          390.00,6.0,2.0,2.0,,,,,,,,,,,,,
,coyotte,$           313.00,4.0,3.0,1.0,,,,,,,,,,,,,
,trio,$           590.00,10.0,6.0,4.0,,,,,,,,,,,,,
,industrial,$           390.00,9.0,6.0,3.0,,,,,,,,,,,,,
,kulbut,$          420.00,2.0,0.0,2.0,,,,,,,,,,,,,
,kali (COLORS UPON REQUEST),$          475.00,16.0,10.0,6.0,,,,,,,,,,,,,
,maze gold (COLORS UPON REQUEST),$           420.00,18.0,10.0,8.0,,,,,,,,,,,,,
,maze silver,$          420.00,17.0,10.0,7.0,,,,,,,,,,,,,
,fortress silver,$          420.00,13.0,10.0,3.0,,,,,,,,,,,,,
,soda silver,$           490.00,15.0,6.0,9.0,,,,,,,,,,,,,
,Mariposa White (per piece),$          420.00,16.0,14.0,2.0,,,,,,,,,,,,,
,Mariposa Silver  (per piece),$           420.00,16.0,9.0,2.0,,,,,,,,,,,,,
,Mariposa Black (per piece),$          420.00,16.0,8.0,8.0,,,,,,,,,,,,,
,Mariposa Gold (Per piece),$          420.00,16.0,8.0,8.0,,,,,,,,,,,,,
,iso silver,$          450.00,8.0,5.0,3.0,,,,,,,,,,,,,
,alpha gold (FOR SALE),$           420.00,22.0,15.0,7.0,,,,,,,,,,,,,
,alpha silver (FOR SALE),$           420.00,14.0,10.0,4.0,,,,,,,,,,,,,
,charlotte gold,$           690.00,4.0,2.0,2.0,,,,,,,,,,,,,
,susan silver,$           290.00,2.0,1.0,1.0,,,,,,,,,,,,,
,susan gold,$          290.00,17.0,6.0,11.0,,,,,,,,,,,,,
,Glowing,,,,,,,,,,,,,,,,,
,nuba corner,$           150.00,5.0,3.0,2.0,,,,,,,,,,,,,
,nuba,$           150.00,24.0,17.0,7.0,,,,,,,,,,,,,
,ypsilon,$           390.00,6.0,4.0,2.0,,,,,,,,,,,,,
,snake,$           150.00,25.0,16.0,9.0,,,,,,,,,,,,,
,cube,$             75.00,92.0,30.0,62.0,,,,,,,,,,,,,
,scuba,$          150.00,17.0,9.0,8.0,,,,,,,,,,,,,
,quadra,$          420.00,16.0,14.0,2.0,,,,,,,,,,,,,
,saturn,$          188.00,15.0,8.0,7.0,,,,,,,,,,,,,
,happy hour,$           150.00,15.0,12.0,3.0,,,,,,,,,,,,,
,globo 8'',$             50.00,10.0,0.0,10.0,,,,,,,,,,,,,
,globo 10'',$             50.00,17.0,0.0,17.0,,,,,,,,,,,,,
,globo 20'',$           125.00,37.0,28.0,9.0,,,,,,,,,,,,,
,globo 25'',$          188.00,35.0,28.0,7.0,,,,,,,,,,,,,
,globo 32'',$          250.00,20.0,14.0,6.0,,,,,,,,,,,,,
,globo 40'',$           390.00,2.0,1.0,1.0,,,,,,,,,,,,,
,tulip led,$           250.00,2.0,2.0,0.0,,,,,,,,,,,,,
,column,$          188.00,20.0,10.0,10.0,,,,,,,,,,,,,
,macau,$           290.00,7.0,4.0,3.0,,,,,,,,,,,,,
,inflatable cone,$          150.00,10.0,6.0,4.0,,,,,,,,,,,,,
,Outdoor living,,,,,,,,,,,,,,,,,
,tanzania sofa,$          490.00,5.0,1.0,4.0,,,,,,,,,,,,,
,tanzania love seat,$          438.00,5.0,1.0,4.0,,,,,,,,,,,,,
,tanzania chair,$           188.00,26.0,16.0,10.0,,,,,,,,,,,,,
,tanzania curve,$           490.00,4.0,,4.0,,,,,,,,,,,,,
,tanzania oval,$           188.00,5.0,0.0,5.0,,,,,,,,,,,,,
,tanzania coffee,$          188.00,12.0,4.0,8.0,,,,,,,,,,,,,
,tanzania ball chair,$          188.00,6.0,0.0,6.0,,,,,,,,,,,,,
,Melrose amrchair,$          350.00,4.0,2.0,2.0,,,,,,,,,,,,,
,Melrose Sofa,$           600.00,4.0,2.0,2.0,,,,,,,,,,,,,
,provence sofa,$           490.00,11.0,9.0,2.0,,,,,,,,,,,,,
,provence chair,$           195.00,21.0,15.0,6.0,,,,,,,,,,,,,
,bloom loveseat,$           448.00,4.0,3.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,Name,,Unit Price,,,Quantity Florida,,,
,,,,,,,,picture,,,,,Quantity,,,New Jersey,,Fly
,,,,,,,,,,,,,,,,,,Delta
,,,,,,,,,,,,,,,,,,Kaleido Low
,,,,,,,,,bloom chair,,$,188.00,6,,2,4,,
,,,,,,,,,Kar sectional NYC ITEM ONLY,,$,40.00,145,,0,145,,
,,,,,,,,,Sierra Set,,$,850.00,6,,4,2,,
,,,,,,,,,grass chair,,$,188.00,1,,1,0,,
,,,,,,,,,yoko,,$,150.00,16,,7,9,,
,,,,,,,,,stone,,$,150.00,1,,1,0,,
,,,,,,,,,Day bed,,$,690.00,14,,6,8,,
,,,,,,,,,Round Pink Fuzzy Rug,,$,250.00,3,,3,,,
