"itempicture",Name,Unit Price,"TotalQuantity",Quantity Florida,"QuantityNew Jersey","***PAINTED ITEMSFlyDeltaKaleido LowKaleido HighCobraLuckyBobinoThalis","NYC COBRA HAS MIDDLE(STRAIGHT PIECE)FLORIDA HAS CORNER AS AMIDDLE PIECE",item,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5,Quantity,Unnamed: 6,***PAINTED ITEMS
,Barstools,,,,,,,,,,,,,,,,,
,scoobidoo gold white,$             40.00,121.0,71.0,50.0,,,,,,,,,,,,,
,scoobidoo gold black,$             40.00,86.0,46.0,40.0,,,,,,,,,,,,,
,scoobidoo silver black,$             40.00,48.0,46.0,2.0,,,,,,,,,,,,,
,scoobidoo silver white,$             35.00,99.0,57.0,42.0,,,,,,,,,,,,,
,saki silver white,$             35.00,270.0,270.0,0.0,,,,,,,,,,,,,
,saki silver black,$             35.00,354.0,230.0,124.0,,,,,,,,,,,,,
,saki gold white,$             35.00,420.0,125.0,295.0,,,,,,,,,,,,,
,saki gold black,$             35.00,354.0,230.0,124.0,,,,,,,,,,,,,
,saki gold red,$             35.00,94.0,39.0,55.0,,,,,,,,,,,,,
,saki silver red,$             35.00,38.0,18.0,20.0,,,,,,,,,,,,,
,alice silver black,$             40.00,122.0,92.0,30.0,,,,,,,,,,,,,
,alice gold black,$             40.00,155.0,125.0,30.0,,,,,,,,,,,,,
,alice silver white,$             40.00,122.0,92.0,30.0,,,,,,,,,,,,,
,alice gold white,$             40.00,155.0,125.0,30.0,,,,,,,,,,,,,
,matrix barstool yellow,$             30.00,53.0,36.0,17.0,,,,,,,,,,,,,
,matrix barstool black,$             30.00,232.0,112.0,120.0,,,,,,,,,,,,,
,matrix barstool white,$             30.00,162.0,100.0,62.0,,,,,,,,,,,,,
,matrix barstool green,$             30.00,28.0,20.0,8.0,,,,,,,,,,,,,
,marguerite barstool,$             45.00,54.0,46.0,8.0,,,,,,,,,,,,,
,x back barstool,$             25.00,158.0,118.0,40.0,,,,,,,,,,,,,
,titanium barstool,$             20.00,120.0,50.0,70.0,,,,,,,,,,,,,
,provence barstool,$             45.00,50.0,50.0,0.0,,,,,,,,,,,,,
,cage barstool,$             20.00,51.0,38.0,13.0,,,,,,,,,,,,,
,air barstool,$             32.00,151.0,83.0,68.0,,,,,,,,,,,,,
,charles barstool clear,$             15.00,360.0,170.0,190.0,,,,,,,,,,,,,
,charles barstool black,$             15.00,126.0,63.0,63.0,,,,,,,,,,,,,
